economic_activity,monthly_revenue,number_of_employees,location,age,innovation,cluster
Agribusiness,936929.11,14,Rio de Janeiro,11,1,0
Commerce,653645.84,10,Vitória,6,7,1
Services,914998.87,14,Rio de Janeiro,13,5,2
Agribusiness,931561.93,9,Belo Horizonte,12,2,0
Industry,1489753.71,11,Rio de Janeiro,8,2,0
Services,389151.32,13,Rio de Janeiro,10,3,2
Commerce,734331.53,15,Rio de Janeiro,9,5,2
Services,1195418.56,14,Vitória,9,8,1
Commerce,1077111.04,9,Vitória,9,7,1
Industry,1098366.38,13,São Paulo,12,2,0
Services,1578288.81,13,Belo Horizonte,13,2,0
Commerce,903521.24,18,São Paulo,4,7,1
Industry,1293348.75,18,Vitória,7,3,2
Industry,559870.94,17,Vitória,10,9,1
Industry,1378891.79,13,Belo Horizonte,7,6,1
Industry,1124033.51,12,São Paulo,13,1,0
Services,1239188.62,16,Rio de Janeiro,10,0,0
Industry,241891.6,13,São Paulo,11,6,1
Agribusiness,226715.57,16,Belo Horizonte,9,0,0
Services,316147.85,15,Vitória,10,3,2
Commerce,983027.55,19,São Paulo,9,4,2
Agribusiness,1081112.62,16,Vitória,7,1,0
Industry,1351509.91,16,Vitória,10,2,0
Services,705494.09,18,Vitória,12,8,1
Agribusiness,1616152.72,16,Rio de Janeiro,10,7,1
Agribusiness,121410.81,3,São Paulo,7,6,1
Industry,1379112.59,9,Rio de Janeiro,15,9,1
Services,371592.27,14,Vitória,3,4,2
Commerce,1005847.92,13,Vitória,5,1,0
Services,909973.14,17,Rio de Janeiro,8,1,0
Services,717966.54,14,Vitória,9,4,2
Commerce,1079558.76,12,Rio de Janeiro,4,5,2
Industry,348577.69,17,São Paulo,11,0,0
Agribusiness,1419109.8,13,São Paulo,10,3,2
Agribusiness,785108.04,14,Rio de Janeiro,7,8,1
Services,2083352.96,4,São Paulo,7,3,2
Services,705535.84,16,São Paulo,9,5,2
Industry,1102257.75,12,Rio de Janeiro,14,9,1
Commerce,184770.26,11,Vitória,9,8,1
Agribusiness,1146243.42,16,Belo Horizonte,12,7,1
Agribusiness,1706382.47,15,São Paulo,11,7,1
Commerce,1932443.78,13,São Paulo,14,7,1
Industry,1443795.53,14,Belo Horizonte,10,0,0
Services,1388175.16,13,Belo Horizonte,8,2,0
Commerce,1033935.28,9,Belo Horizonte,14,8,1
Services,1506130.56,18,Rio de Janeiro,9,0,0
Agribusiness,971873.18,13,Rio de Janeiro,12,4,2
Commerce,1231155.45,11,Belo Horizonte,11,3,2
Industry,856263.52,14,São Paulo,11,0,0
Industry,789695.82,14,São Paulo,16,2,0
Agribusiness,617845.52,13,São Paulo,3,5,2
Commerce,997025.99,19,Belo Horizonte,7,4,2
Industry,993329.43,18,Belo Horizonte,11,9,1
Agribusiness,1439742.37,15,Belo Horizonte,7,2,0
Industry,1083390.19,17,São Paulo,10,9,1
Commerce,763290.3,11,Belo Horizonte,7,4,2
Agribusiness,1132167.53,7,Rio de Janeiro,11,4,2
Commerce,1404262.26,15,São Paulo,5,9,1
Commerce,833741.24,12,Belo Horizonte,8,6,1
Commerce,833486.37,18,São Paulo,11,0,0
Commerce,949003.35,12,São Paulo,9,1,0
Commerce,1383614.28,14,Vitória,8,3,2
Agribusiness,603109.29,18,Belo Horizonte,12,2,0
Commerce,810709.96,14,Belo Horizonte,10,2,0
Industry,735388.51,17,Rio de Janeiro,10,9,1
Agribusiness,1574289.73,16,Belo Horizonte,7,6,1
Commerce,1589880.1,9,Belo Horizonte,7,0,0
Commerce,993467.4,9,Belo Horizonte,10,4,2
Agribusiness,863881.59,15,São Paulo,10,7,1
Services,332979.68,12,Belo Horizonte,6,0,0
Services,831586.64,13,Vitória,16,1,0
Agribusiness,18421.22,14,São Paulo,12,2,0
Commerce,823011.86,13,Belo Horizonte,7,9,1
Services,643092.4,7,Vitória,12,2,0
Commerce,958451.91,9,Belo Horizonte,7,7,1
Agribusiness,1841715.96,14,Rio de Janeiro,6,0,0
Services,1114979.28,2,Rio de Janeiro,5,6,1
Industry,843237.64,14,Belo Horizonte,7,6,1
Commerce,853807.58,18,Rio de Janeiro,11,2,0
Industry,1267527.12,14,Rio de Janeiro,13,3,2
Industry,722272.13,17,Rio de Janeiro,10,5,2
Agribusiness,580396.98,15,São Paulo,10,7,1
Commerce,1153343.69,13,Rio de Janeiro,11,2,0
Services,1243667.61,14,Rio de Janeiro,7,6,1
Services,1655885.31,9,Vitória,13,7,1
Agribusiness,1563607.42,11,Belo Horizonte,10,7,1
Commerce,1404873.5,13,Belo Horizonte,13,2,0
Industry,723535.75,6,Vitória,15,2,0
Commerce,1276078.67,13,São Paulo,13,4,2
Agribusiness,810805.33,15,São Paulo,2,9,1
Services,1555042.97,8,Rio de Janeiro,11,8,1
Industry,1142214.41,16,Vitória,9,6,1
Industry,1272544.7,16,Vitória,9,3,2
Commerce,983440.97,7,Belo Horizonte,12,5,2
Agribusiness,103994.8,13,Belo Horizonte,10,1,0
Industry,1236114.44,7,Belo Horizonte,5,1,0
Industry,1565259.29,16,Vitória,4,9,1
Commerce,909928.51,13,Vitória,11,7,1
Commerce,1518495.54,15,São Paulo,16,9,1
Industry,1353384.97,13,Rio de Janeiro,7,6,1
Industry,1050126.53,12,Rio de Janeiro,4,2,0
Services,1094043.53,14,Vitória,8,4,2
Agribusiness,1078181.16,20,Belo Horizonte,9,6,1
Commerce,1480465.17,19,Belo Horizonte,8,0,0
Services,267812.36,3,Belo Horizonte,7,9,1
Services,1754666.01,16,Vitória,6,9,1
Agribusiness,1070918.51,15,Belo Horizonte,13,8,1
Agribusiness,334835.36,17,Vitória,8,7,1
Services,1290549.96,16,Rio de Janeiro,12,0,0
Agribusiness,1363863.52,11,São Paulo,6,4,2
Agribusiness,834438.57,18,São Paulo,9,7,1
Commerce,1301428.04,18,Belo Horizonte,11,9,1
Agribusiness,148061.36,19,São Paulo,7,6,1
Commerce,850020.42,17,Rio de Janeiro,5,5,2
Commerce,650241.43,10,Belo Horizonte,12,8,1
Commerce,494926.48,16,Vitória,6,1,0
Services,1057767.62,3,Vitória,10,9,1
Industry,627273.65,17,Rio de Janeiro,8,8,1
Industry,665358.48,16,Vitória,10,9,1
Industry,740201.08,11,Vitória,10,0,0
Industry,991762.16,19,Vitória,7,3,2
Agribusiness,1230575.08,16,Belo Horizonte,12,8,1
Industry,174738.56,16,Rio de Janeiro,6,1,0
Services,1407737.12,16,Vitória,10,8,1
Commerce,1376121.85,14,Rio de Janeiro,7,1,0
Services,763143.44,17,Vitória,8,0,0
Commerce,1009984.8,14,São Paulo,10,4,2
Industry,965508.49,18,Belo Horizonte,15,4,2
Agribusiness,1118393.81,13,Vitória,5,3,2
Services,1094810.2,14,Belo Horizonte,8,8,1
Commerce,1093585.71,14,Rio de Janeiro,10,7,1
Agribusiness,1248640.73,14,Rio de Janeiro,12,1,0
Commerce,1475870.0,10,Rio de Janeiro,9,0,0
Services,564348.59,15,São Paulo,8,7,1
Services,768322.67,12,Rio de Janeiro,8,4,2
Commerce,1032819.03,12,Vitória,10,1,0
Agribusiness,816484.64,17,Rio de Janeiro,4,5,2
Commerce,535199.75,21,São Paulo,13,0,0
Industry,743926.38,14,Belo Horizonte,12,0,0
Commerce,852074.86,16,São Paulo,9,2,0
Commerce,1194723.4,13,Rio de Janeiro,7,1,0
Commerce,849942.63,12,Vitória,9,0,0
Services,1330082.14,17,São Paulo,6,2,0
Agribusiness,861194.33,13,Belo Horizonte,14,4,2
Commerce,312067.61,15,São Paulo,7,3,2
Agribusiness,554967.95,13,Rio de Janeiro,9,9,1
Agribusiness,608858.82,18,Vitória,10,1,0
Services,271560.28,14,Belo Horizonte,6,0,0
Industry,1171807.82,15,Vitória,6,9,1
Commerce,1063111.93,15,Vitória,12,5,2
Industry,726828.81,18,São Paulo,9,6,1
Agribusiness,864076.14,17,Vitória,11,6,1
Commerce,1134311.38,14,Rio de Janeiro,10,7,1
Services,1220385.54,15,Belo Horizonte,8,8,1
Industry,988495.51,13,Belo Horizonte,9,2,0
Industry,769054.24,11,Rio de Janeiro,2,8,1
Commerce,1027960.98,13,Vitória,13,0,0
Industry,1063262.79,8,Vitória,9,3,2
Commerce,910568.59,16,Rio de Janeiro,7,0,0
Industry,1716130.92,16,Rio de Janeiro,8,3,2
Industry,1230763.9,15,Belo Horizonte,7,7,1
Agribusiness,1014070.01,11,Vitória,12,6,1
Services,989109.67,14,São Paulo,8,2,0
Industry,531384.99,17,Rio de Janeiro,7,7,1
Services,84497.94,7,São Paulo,5,5,2
Commerce,1385339.46,15,Belo Horizonte,5,4,2
Agribusiness,1009392.87,11,São Paulo,13,8,1
Services,787481.84,18,Vitória,7,4,2
Commerce,679053.92,13,Rio de Janeiro,5,7,1
Services,1100001.65,19,Rio de Janeiro,13,3,2
Services,2390677.22,10,Belo Horizonte,6,1,0
Commerce,977980.47,18,Belo Horizonte,9,2,0
Commerce,598717.71,13,Rio de Janeiro,5,2,0
Agribusiness,1025701.64,15,Vitória,11,9,1
Agribusiness,788278.22,13,Rio de Janeiro,8,3,2
Agribusiness,64711.22,17,Belo Horizonte,4,6,1
Industry,1570819.07,15,Vitória,11,8,1
Industry,1993908.63,14,São Paulo,6,6,1
Agribusiness,785668.64,15,São Paulo,9,9,1
Industry,1258737.22,15,São Paulo,13,0,0
Agribusiness,1320450.27,15,Rio de Janeiro,7,0,0
Commerce,911615.28,15,Belo Horizonte,6,1,0
Services,533072.17,12,Belo Horizonte,9,6,1
Industry,659624.71,14,Belo Horizonte,8,5,2
Agribusiness,1367765.95,14,Belo Horizonte,8,7,1
Industry,1370699.52,14,São Paulo,10,6,1
Services,757658.35,8,São Paulo,16,7,1
Services,1286670.98,14,São Paulo,10,0,0
Services,1650111.3,12,Vitória,9,5,2
Commerce,803823.34,15,Belo Horizonte,8,9,1
Industry,1133686.14,10,São Paulo,9,2,0
Services,1016606.48,15,Vitória,7,8,1
Services,1209830.96,15,Vitória,10,2,0
Agribusiness,768946.51,14,Rio de Janeiro,12,4,2
Commerce,1236870.36,14,Vitória,10,9,1
Agribusiness,1373604.43,11,Rio de Janeiro,9,7,1
Agribusiness,791201.94,12,Vitória,8,0,0
Commerce,470253.72,13,Vitória,5,3,2
Industry,1244020.43,11,Vitória,5,7,1
Agribusiness,323593.53,16,Vitória,9,6,1
Industry,839638.4,12,São Paulo,11,0,0
Industry,1460403.03,11,Belo Horizonte,11,8,1
Commerce,1255764.84,17,São Paulo,14,6,1
Services,915799.22,14,Belo Horizonte,13,5,2
Services,1541762.74,8,Belo Horizonte,9,4,2
Industry,429688.53,13,Belo Horizonte,8,7,1
Agribusiness,800004.44,17,Rio de Janeiro,9,5,2
Industry,1017325.17,18,Vitória,12,6,1
Services,60516.83,14,Rio de Janeiro,9,4,2
Industry,1207098.74,12,Vitória,10,9,1
Industry,791704.75,13,Vitória,12,2,0
Agribusiness,1655693.05,13,Vitória,12,0,0
Agribusiness,1281521.01,6,Rio de Janeiro,12,7,1
Commerce,1902144.56,10,Vitória,9,7,1
Services,853723.67,8,Rio de Janeiro,10,8,1
Services,1344366.16,12,Vitória,5,8,1
Industry,884940.1,17,São Paulo,13,4,2
Agribusiness,625599.74,15,Rio de Janeiro,7,2,0
Industry,908289.25,16,Belo Horizonte,13,1,0
Commerce,1032183.53,14,Belo Horizonte,11,8,1
Industry,2107306.42,11,Belo Horizonte,7,1,0
Services,481595.99,13,Rio de Janeiro,7,3,2
Services,663326.41,18,São Paulo,16,9,1
Commerce,1588245.25,10,Rio de Janeiro,11,0,0
Industry,921770.07,9,Rio de Janeiro,12,6,1
Agribusiness,163682.26,18,Vitória,15,4,2
Agribusiness,1247176.41,10,Rio de Janeiro,4,8,1
Commerce,1212901.4,15,Rio de Janeiro,7,1,0
Services,851080.66,15,Belo Horizonte,12,5,2
Industry,942883.08,15,São Paulo,7,8,1
Commerce,1707923.52,6,São Paulo,11,6,1
Agribusiness,1177227.98,16,Rio de Janeiro,13,1,0
Agribusiness,499441.3,13,Vitória,12,1,0
Industry,1395925.1,14,Rio de Janeiro,11,8,1
Industry,1456142.58,15,Rio de Janeiro,9,8,1
Commerce,693629.48,15,Rio de Janeiro,9,3,2
Commerce,1209549.81,12,Rio de Janeiro,6,5,2
Commerce,1713025.38,14,Belo Horizonte,4,2,0
Industry,1292741.18,11,Belo Horizonte,14,0,0
Industry,911521.72,18,São Paulo,11,3,2
Services,1094337.38,15,Rio de Janeiro,11,1,0
Agribusiness,880090.72,13,Belo Horizonte,6,1,0
Services,1015654.17,14,Rio de Janeiro,7,2,0
Agribusiness,1398871.6,14,Vitória,14,0,0
Commerce,1327130.38,14,Rio de Janeiro,6,7,1
Industry,1129203.5,18,São Paulo,11,3,2
Agribusiness,941612.29,13,Rio de Janeiro,7,9,1
Services,854382.67,15,Rio de Janeiro,12,1,0
Services,1318621.28,14,Rio de Janeiro,9,2,0
Industry,1458066.67,20,São Paulo,9,6,1
Commerce,1728544.72,18,São Paulo,10,2,0
Agribusiness,1161568.8,9,Belo Horizonte,7,7,1
Industry,780121.59,14,São Paulo,6,7,1
Industry,1298316.46,16,Belo Horizonte,12,6,1
Industry,1337880.08,18,Vitória,10,9,1
Services,231562.65,13,Vitória,9,6,1
Industry,823374.93,10,Belo Horizonte,6,1,0
Services,356229.62,14,Rio de Janeiro,8,9,1
Agribusiness,1532181.14,8,Belo Horizonte,2,6,1
Agribusiness,1006625.13,12,Rio de Janeiro,14,1,0
Industry,1104801.34,12,Belo Horizonte,5,3,2
Agribusiness,722920.8,8,São Paulo,9,8,1
Services,734238.96,15,Rio de Janeiro,10,3,2
Commerce,805436.7,15,Vitória,3,4,2
Agribusiness,1647453.28,17,São Paulo,11,2,0
Commerce,898610.61,11,Vitória,9,0,0
Services,626629.6,17,Vitória,10,9,1
Services,1794352.93,3,São Paulo,12,9,1
Industry,1043981.61,11,Belo Horizonte,10,9,1
Services,665572.04,15,São Paulo,13,4,2
Commerce,932845.17,11,Vitória,8,6,1
Agribusiness,1569380.97,10,Vitória,9,1,0
Industry,1216938.1,17,Vitória,6,2,0
Commerce,1093042.03,9,Belo Horizonte,12,7,1
Commerce,1348626.67,12,Rio de Janeiro,10,0,0
Industry,203045.12,12,Rio de Janeiro,6,6,1
Services,602393.66,17,Belo Horizonte,10,3,2
Services,1010038.24,14,São Paulo,11,8,1
Industry,929711.04,17,São Paulo,8,5,2
Agribusiness,1116387.07,12,Belo Horizonte,7,0,0
Industry,1683711.93,16,Belo Horizonte,13,6,1
Agribusiness,626776.88,17,São Paulo,11,7,1
Industry,1219653.63,12,São Paulo,7,5,2
Industry,1314583.32,14,Rio de Janeiro,8,6,1
Commerce,1535533.76,14,São Paulo,10,3,2
Commerce,1936486.41,18,Rio de Janeiro,10,5,2
Industry,1382271.23,15,Vitória,13,7,1
Industry,1238547.54,13,Vitória,9,3,2
Agribusiness,944765.54,15,Rio de Janeiro,8,7,1
Agribusiness,1057982.09,17,Vitória,7,0,0
Industry,1046845.34,2,Vitória,9,8,1
Agribusiness,333127.92,17,São Paulo,10,8,1
Industry,1189103.92,16,São Paulo,8,5,2
Commerce,1003981.55,13,Rio de Janeiro,8,2,0
Commerce,629572.6,16,Vitória,8,1,0
Industry,753664.57,14,Rio de Janeiro,8,0,0
Services,549149.57,9,São Paulo,9,8,1
Industry,1288325.43,15,São Paulo,15,4,2
Agribusiness,928727.24,10,Rio de Janeiro,11,2,0
Commerce,1843761.24,17,Belo Horizonte,15,1,0
Agribusiness,244825.0,15,Vitória,11,4,2
Industry,656377.77,10,Vitória,10,4,2
Commerce,1574626.03,11,Vitória,13,9,1
Agribusiness,1439950.65,10,Vitória,12,7,1
Services,721463.53,16,Rio de Janeiro,6,5,2
Services,1436673.0,12,São Paulo,12,3,2
Commerce,841346.81,14,Vitória,7,2,0
Industry,1485834.15,14,São Paulo,6,6,1
Commerce,1459878.0,15,Vitória,4,5,2
Agribusiness,1349860.72,17,São Paulo,10,9,1
Industry,1952250.45,12,Vitória,8,0,0
Services,1027285.87,15,Vitória,8,8,1
Commerce,1053130.05,19,São Paulo,8,9,1
Services,990690.47,16,São Paulo,7,3,2
Services,1118793.07,19,Belo Horizonte,8,2,0
Agribusiness,1902367.98,15,Rio de Janeiro,11,7,1
Industry,981440.96,14,Rio de Janeiro,8,8,1
Agribusiness,506672.67,14,Vitória,12,8,1
Industry,1735063.39,10,São Paulo,8,6,1
Commerce,686102.63,12,Vitória,16,3,2
Industry,715243.69,13,São Paulo,12,1,0
Services,1193834.4,15,Vitória,11,5,2
Agribusiness,1743573.32,17,Belo Horizonte,12,6,1
Commerce,1167501.7,17,Belo Horizonte,10,7,1
Agribusiness,989883.92,13,São Paulo,16,1,0
Commerce,1058929.85,11,São Paulo,7,8,1
Services,673865.11,9,Rio de Janeiro,11,7,1
Services,591593.3,16,Vitória,11,6,1
Agribusiness,916748.4,19,Vitória,5,2,0
Services,1694996.88,15,Rio de Janeiro,10,4,2
Commerce,550053.3,10,Vitória,10,9,1
Services,1195575.01,16,Belo Horizonte,8,1,0
Commerce,1867234.3,12,São Paulo,8,4,2
Commerce,1077943.15,12,Vitória,12,9,1
Services,1228736.22,14,Belo Horizonte,12,8,1
Commerce,1003381.76,12,Vitória,7,3,2
Agribusiness,603305.03,14,Rio de Janeiro,12,1,0
Services,1220941.7,16,Belo Horizonte,14,1,0
Agribusiness,545859.25,14,Vitória,10,2,0
Services,1124754.89,10,São Paulo,6,6,1
Agribusiness,1167866.74,17,Belo Horizonte,8,5,2
Industry,1362343.3,14,Belo Horizonte,8,7,1
Services,1103149.26,13,São Paulo,14,6,1
Agribusiness,743480.47,11,São Paulo,3,4,2
Services,434194.11,10,Vitória,11,6,1
Industry,479869.9,16,Vitória,12,3,2
Services,1071831.13,14,Vitória,13,9,1
Commerce,593531.52,12,Belo Horizonte,6,3,2
Commerce,1492116.94,15,Vitória,6,7,1
Industry,658580.22,18,Belo Horizonte,13,3,2
Industry,869605.13,13,Rio de Janeiro,9,4,2
Services,879688.87,15,Belo Horizonte,8,3,2
Services,725022.65,13,Rio de Janeiro,11,1,0
Commerce,1316076.16,16,São Paulo,11,3,2
Commerce,1056532.62,13,São Paulo,8,5,2
Services,836973.51,17,São Paulo,11,6,1
Commerce,79015.03,5,Vitória,11,2,0
Agribusiness,1780802.99,13,São Paulo,7,7,1
Agribusiness,1328577.86,14,Vitória,10,3,2
Services,435489.53,14,São Paulo,13,0,0
Agribusiness,844782.42,5,Vitória,9,1,0
Industry,1298004.31,15,Belo Horizonte,12,2,0
Commerce,1662826.01,13,Vitória,9,9,1
Commerce,970959.21,15,Vitória,11,5,2
Agribusiness,869638.69,18,Rio de Janeiro,10,6,1
Commerce,1009839.03,14,São Paulo,15,6,1
Services,1021085.99,12,São Paulo,10,1,0
Commerce,1239494.05,14,Rio de Janeiro,4,6,1
Commerce,1536684.3,15,Vitória,13,5,2
Commerce,1068322.53,13,Rio de Janeiro,7,9,1
Commerce,983540.2,13,Vitória,10,6,1
Commerce,880695.38,14,Belo Horizonte,10,9,1
Agribusiness,119950.58,15,Rio de Janeiro,8,4,2
Services,1346978.95,14,Rio de Janeiro,10,2,0
Agribusiness,1752009.96,13,Vitória,5,0,0
Commerce,1061121.78,14,Belo Horizonte,16,4,2
Industry,1358513.26,17,Belo Horizonte,8,8,1
Industry,254263.2,13,São Paulo,7,5,2
Commerce,475032.23,16,Rio de Janeiro,10,1,0
Agribusiness,1330014.86,12,Vitória,10,5,2
Agribusiness,1042344.43,12,Vitória,5,1,0
Services,429809.37,12,São Paulo,11,6,1
Commerce,1198949.59,15,Rio de Janeiro,5,1,0
Agribusiness,1024828.18,14,Vitória,10,4,2
Services,1878689.05,17,Rio de Janeiro,10,7,1
Commerce,1635893.76,18,Belo Horizonte,4,6,1
Agribusiness,1147381.02,17,Belo Horizonte,6,4,2
Commerce,1155825.73,13,São Paulo,11,7,1
Services,1295183.25,17,São Paulo,9,6,1
Commerce,654953.48,11,São Paulo,15,7,1
Commerce,1130027.72,8,Vitória,7,5,2
Services,25576.28,12,Rio de Janeiro,16,2,0
Industry,1227045.41,15,São Paulo,11,0,0
Industry,805517.39,11,Rio de Janeiro,12,1,0
Services,1169132.47,15,Rio de Janeiro,11,3,2
Agribusiness,1109076.58,15,Vitória,10,8,1
Commerce,695368.23,15,Rio de Janeiro,15,2,0
Commerce,1355673.25,15,Rio de Janeiro,13,5,2
Industry,809933.42,16,Rio de Janeiro,7,0,0
Commerce,1229181.97,11,Vitória,8,0,0
Services,1693342.51,14,Belo Horizonte,4,7,1
Agribusiness,618250.8,9,Belo Horizonte,11,8,1
Agribusiness,811781.56,14,Rio de Janeiro,6,4,2
Commerce,745302.32,13,Rio de Janeiro,9,3,2
Services,1052598.3,15,São Paulo,11,4,2
Agribusiness,1103740.65,18,Belo Horizonte,11,8,1
Services,1810013.45,12,Vitória,8,0,0
Industry,1334308.97,14,São Paulo,6,2,0
Agribusiness,1425718.91,17,Vitória,5,5,2
Commerce,1662467.08,8,Vitória,1,7,1
Agribusiness,1681458.49,14,Belo Horizonte,13,8,1
Services,1509385.85,13,Belo Horizonte,11,0,0
Commerce,1533062.06,18,Vitória,5,9,1
Commerce,786224.94,9,São Paulo,12,2,0
Agribusiness,445571.87,15,São Paulo,13,1,0
Services,505124.91,14,Vitória,7,5,2
Industry,2006688.81,13,São Paulo,13,5,2
Agribusiness,416429.3,14,São Paulo,7,1,0
Industry,215580.61,11,Belo Horizonte,7,3,2
Services,1050776.57,14,Vitória,8,0,0
Commerce,785671.05,15,Vitória,9,2,0
Services,658330.45,20,Belo Horizonte,4,8,1
Agribusiness,1643153.26,14,Rio de Janeiro,10,1,0
Services,1581841.42,17,Rio de Janeiro,8,2,0
Industry,1291309.57,9,São Paulo,6,9,1
Services,2211489.85,10,Belo Horizonte,10,0,0
Agribusiness,1460860.46,12,Rio de Janeiro,5,3,2
Industry,173684.43,13,Belo Horizonte,4,9,1
